,model,n,p,k,seed,method,time,accuracy,n_iters
81,ising,100,190,40,9,SCOPE_jit,0.9648615510013769,0.75,8
82,ising,100,190,40,9,SCOPE,17.13576041199849,0.75,11
83,ising,100,190,40,9,GraSP_jit,0.5402740409990656,0.75,12
84,ising,100,190,40,9,GraSP,16.2476919000037,0.75,12
85,ising,100,190,40,9,IHT_jit,0.33799148500111187,0.85,6
86,ising,100,190,40,9,IHT,0.9193262440021499,0.85,6
87,ising,100,190,40,9,HTP_jit,0.39316234800207894,0.75,5
88,ising,100,190,40,9,HTP,6.111048209997534,0.75,5
89,ising,100,190,40,9,CVXPY,0.2865202120010508,0.825,0
90,ising,200,190,40,10,SCOPE_jit,2.1521577860039542,0.95,10
91,ising,200,190,40,10,SCOPE,16.734977414998866,0.95,8
92,ising,200,190,40,10,GraSP_jit,0.8276421740010846,0.925,9
93,ising,200,190,40,10,GraSP,17.104265701003897,0.925,9
94,ising,200,190,40,10,IHT_jit,0.28555443300137995,0.95,8
95,ising,200,190,40,10,IHT,0.80486314099835,0.95,8
96,ising,200,190,40,10,HTP_jit,0.3534118910029065,0.975,5
97,ising,200,190,40,10,HTP,4.3646795750028105,0.975,5
98,ising,200,190,40,10,CVXPY,0.8400312349986052,0.85,0
99,ising,200,190,40,11,SCOPE_jit,1.7128319229959743,1.0,13
100,ising,200,190,40,11,SCOPE,19.30980763700063,1.0,13
101,ising,200,190,40,11,GraSP_jit,0.46243676300218794,0.975,6
102,ising,200,190,40,11,GraSP,8.160559324998758,0.975,6
103,ising,200,190,40,11,IHT_jit,0.3109988100040937,0.95,3
104,ising,200,190,40,11,IHT,1.183868619002169,0.95,3
105,ising,200,190,40,11,HTP_jit,0.5501926270007971,0.975,3
106,ising,200,190,40,11,HTP,3.200349553997512,0.975,3
107,ising,200,190,40,11,CVXPY,0.8419672019954305,0.9,0
108,ising,200,190,40,12,SCOPE_jit,1.5750216449960135,0.875,12
109,ising,200,190,40,12,SCOPE,17.20406360799825,0.875,12
110,ising,200,190,40,12,GraSP_jit,0.5064346779981861,0.825,9
111,ising,200,190,40,12,GraSP,8.914646397002798,0.825,9
112,ising,200,190,40,12,IHT_jit,0.49320224399707513,0.9,99
113,ising,200,190,40,12,IHT,2.6428201210001134,0.9,99
114,ising,200,190,40,12,HTP_jit,0.3806844569990062,0.85,5
115,ising,200,190,40,12,HTP,5.6533517639982165,0.85,5
116,ising,200,190,40,12,CVXPY,0.7872471359951305,0.85,0
117,ising,200,190,40,13,SCOPE_jit,1.9759864209991065,0.9,14
118,ising,200,190,40,13,SCOPE,23.9106911189956,0.9,14
119,ising,200,190,40,13,GraSP_jit,0.6244753779974417,0.9,11
120,ising,200,190,40,13,GraSP,16.66444885799865,0.9,11
121,ising,200,190,40,13,IHT_jit,0.6213530269960756,0.7,99
122,ising,200,190,40,13,IHT,3.974269992002519,0.7,99
123,ising,200,190,40,13,HTP_jit,0.3926880639992305,0.9,4
124,ising,200,190,40,13,HTP,3.3275345450019813,0.9,4
125,ising,200,190,40,13,CVXPY,0.677883598000335,0.875,0
126,ising,200,190,40,14,SCOPE_jit,1.8087167310004588,0.975,14
127,ising,200,190,40,14,SCOPE,19.859306169004412,0.975,14
128,ising,200,190,40,14,GraSP_jit,0.45813229299528757,0.925,7
129,ising,200,190,40,14,GraSP,7.293592816997261,0.925,7
130,ising,200,190,40,14,IHT_jit,0.30240396299632266,0.9,3
131,ising,200,190,40,14,IHT,1.1996864579996327,0.9,3
132,ising,200,190,40,14,HTP_jit,0.37886366000020644,0.925,5
133,ising,200,190,40,14,HTP,6.174831185002404,0.925,5
134,ising,200,190,40,14,CVXPY,1.1595326609967742,0.9,0
135,ising,200,190,40,15,SCOPE_jit,2.845084994994977,0.825,16
136,ising,200,190,40,15,SCOPE,29.220979942001577,0.825,14
137,ising,200,190,40,15,GraSP_jit,1.795208952993562,0.8,42
138,ising,200,190,40,15,GraSP,46.45794959899649,0.8,42
139,ising,200,190,40,15,IHT_jit,0.28606451399537036,0.8,6
140,ising,200,190,40,15,IHT,1.3054050050050137,0.8,6
141,ising,200,190,40,15,HTP_jit,0.3842786730019725,0.775,4
142,ising,200,190,40,15,HTP,3.9715356989981956,0.775,4
143,ising,200,190,40,15,CVXPY,1.1712149590021,0.775,0
144,ising,200,190,40,16,SCOPE_jit,2.1649585490013123,0.95,15
145,ising,200,190,40,16,SCOPE,24.275759238997125,0.95,15
146,ising,200,190,40,16,GraSP_jit,0.4692263679971802,0.85,7
147,ising,200,190,40,16,GraSP,10.267928232999111,0.85,7
148,ising,200,190,40,16,IHT_jit,0.3841611230018316,0.775,1
149,ising,200,190,40,16,IHT,0.9132647189981071,0.775,1
150,ising,200,190,40,16,HTP_jit,0.33594919499591924,0.95,5
151,ising,200,190,40,16,HTP,3.345162851001078,0.95,5
152,ising,200,190,40,16,CVXPY,0.9295829339971533,0.85,0
153,ising,200,190,40,17,SCOPE_jit,1.3075437269944814,0.95,8
154,ising,200,190,40,17,SCOPE,12.731454437001958,0.95,8
155,ising,200,190,40,17,GraSP_jit,0.5718694370007142,0.95,11
156,ising,200,190,40,17,GraSP,12.474610846998985,0.95,11
157,ising,200,190,40,17,IHT_jit,0.30518734200450126,0.875,6
158,ising,200,190,40,17,IHT,0.8538977909993264,0.875,6
159,ising,200,190,40,17,HTP_jit,0.4154631849960424,0.95,4
160,ising,200,190,40,17,HTP,3.936417368000548,0.95,4
161,ising,200,190,40,17,CVXPY,1.1010314090017346,0.875,0
162,ising,200,190,40,18,SCOPE_jit,1.6379094619987882,0.925,15
163,ising,200,190,40,18,SCOPE,28.325303649995476,0.925,15
164,ising,200,190,40,18,GraSP_jit,0.647914765002497,0.9,14
165,ising,200,190,40,18,GraSP,16.868230082996888,0.9,14
166,ising,200,190,40,18,IHT_jit,0.3710712649990455,0.85,5
167,ising,200,190,40,18,IHT,0.9537034539971501,0.85,5
168,ising,200,190,40,18,HTP_jit,0.4460043660001247,0.9,8
169,ising,200,190,40,18,HTP,9.475929749001807,0.9,8
170,ising,200,190,40,18,CVXPY,1.1642159900002298,0.85,0
171,ising,200,190,40,19,SCOPE_jit,3.0472773910005344,0.95,12
172,ising,200,190,40,19,SCOPE,26.321604048003792,0.95,12
173,ising,200,190,40,19,GraSP_jit,0.7724304930015933,0.9,9
174,ising,200,190,40,19,GraSP,18.940361515000404,0.9,9
175,ising,200,190,40,19,IHT_jit,0.45516690999647835,0.9,5
176,ising,200,190,40,19,IHT,1.440217578994634,0.9,5
177,ising,200,190,40,19,HTP_jit,0.5206138850044226,0.925,4
178,ising,200,190,40,19,HTP,4.496312948002014,0.925,4
179,ising,200,190,40,19,CVXPY,0.6832809129991801,0.85,0
180,ising,300,190,40,20,SCOPE_jit,3.447973630994966,1.0,15
181,ising,300,190,40,20,SCOPE,31.64376902100048,1.0,15
182,ising,300,190,40,20,GraSP_jit,0.5316842410029494,0.975,6
183,ising,300,190,40,20,GraSP,5.851298054003564,0.975,6
184,ising,300,190,40,20,IHT_jit,0.45442503599770134,0.95,6
185,ising,300,190,40,20,IHT,0.8635267939971527,0.95,6
186,ising,300,190,40,20,HTP_jit,0.34962965300655924,1.0,4
187,ising,300,190,40,20,HTP,3.9934925330016995,1.0,4
188,ising,300,190,40,20,CVXPY,1.773374263997539,0.875,0
189,ising,300,190,40,21,SCOPE_jit,1.5493116049983655,1.0,8
190,ising,300,190,40,21,SCOPE,17.216716770999483,1.0,8
191,ising,300,190,40,21,GraSP_jit,0.4161783910021768,0.975,4
192,ising,300,190,40,21,GraSP,5.434654031996615,0.975,4
193,ising,300,190,40,21,IHT_jit,0.33138857199810445,0.975,5
194,ising,300,190,40,21,IHT,1.2551037489974988,0.975,5
195,ising,300,190,40,21,HTP_jit,0.4284522840025602,1.0,3
196,ising,300,190,40,21,HTP,2.8871062680045725,1.0,3
197,ising,300,190,40,21,CVXPY,1.6690909210010432,0.925,0
198,ising,300,190,40,22,SCOPE_jit,2.323543521000829,0.975,17
199,ising,300,190,40,22,SCOPE,26.540027196002484,0.975,16
200,ising,300,190,40,22,GraSP_jit,0.5829220460000215,0.95,9
201,ising,300,190,40,22,GraSP,12.63926931500464,0.95,9
202,ising,300,190,40,22,IHT_jit,0.3414521059967228,0.675,1
203,ising,300,190,40,22,IHT,1.19779055500112,0.675,1
204,ising,300,190,40,22,HTP_jit,0.680904101995111,0.95,5
205,ising,300,190,40,22,HTP,4.5672098099967116,0.95,5
206,ising,300,190,40,22,CVXPY,1.3583970719992067,0.875,0
207,ising,300,190,40,23,SCOPE_jit,1.4836931030004052,1.0,7
208,ising,300,190,40,23,SCOPE,13.291943263000576,1.0,7
209,ising,300,190,40,23,GraSP_jit,0.5737527049932396,1.0,7
210,ising,300,190,40,23,GraSP,8.457090955002059,1.0,7
211,ising,300,190,40,23,IHT_jit,0.3557850240031257,1.0,4
212,ising,300,190,40,23,IHT,1.1092758449958637,1.0,4
213,ising,300,190,40,23,HTP_jit,0.33579502800421324,1.0,3
214,ising,300,190,40,23,HTP,2.6691956380018382,1.0,3
215,ising,300,190,40,23,CVXPY,1.1056048140017083,0.975,0
216,ising,300,190,40,24,SCOPE_jit,1.6884706140044727,0.95,16
217,ising,300,190,40,24,SCOPE,34.121428077996825,0.95,16
218,ising,300,190,40,24,GraSP_jit,1.6876662630020292,0.925,34
219,ising,300,190,40,24,GraSP,72.00023825099925,0.925,34
220,ising,300,190,40,24,IHT_jit,0.4194782549966476,0.75,4
221,ising,300,190,40,24,IHT,0.8829520190047333,0.75,4
222,ising,300,190,40,24,HTP_jit,0.44639978000486735,0.875,6
223,ising,300,190,40,24,HTP,5.346702128998004,0.875,6
224,ising,300,190,40,24,CVXPY,1.3127432670007693,0.825,0
225,ising,300,190,40,25,SCOPE_jit,2.7175013340020087,0.975,9
226,ising,300,190,40,25,SCOPE,18.87678970900015,0.975,8
227,ising,300,190,40,25,GraSP_jit,0.8524712669968721,0.95,5
228,ising,300,190,40,25,GraSP,9.530181851005182,0.95,5
229,ising,300,190,40,25,IHT_jit,0.3941960090014618,0.9,3
230,ising,300,190,40,25,IHT,0.7627206730030593,0.9,3
231,ising,300,190,40,25,HTP_jit,0.37270966399955796,0.95,6
232,ising,300,190,40,25,HTP,3.9888285600027302,0.95,6
233,ising,300,190,40,25,CVXPY,4.454190266005753,0.9,0
234,ising,300,190,40,26,SCOPE_jit,1.7207039570057532,1.0,8
235,ising,300,190,40,26,SCOPE,14.074467038000876,1.0,8
236,ising,300,190,40,26,GraSP_jit,0.5310370020015398,0.975,7
237,ising,300,190,40,26,GraSP,7.354444425000111,0.975,7
238,ising,300,190,40,26,IHT_jit,0.4754240149995894,0.95,4
239,ising,300,190,40,26,IHT,1.3369277460005833,0.95,4
240,ising,300,190,40,26,HTP_jit,0.4666049669976928,1.0,4
241,ising,300,190,40,26,HTP,4.145558117998007,1.0,4
242,ising,300,190,40,26,CVXPY,1.634035094997671,0.925,0
243,ising,300,190,40,27,SCOPE_jit,1.3989194449968636,0.975,8
244,ising,300,190,40,27,SCOPE,13.722022642999946,0.975,8
245,ising,300,190,40,27,GraSP_jit,0.43048971600364894,0.975,5
246,ising,300,190,40,27,GraSP,4.703896263999923,0.975,5
247,ising,300,190,40,27,IHT_jit,0.4088037220062688,0.975,4
248,ising,300,190,40,27,IHT,0.8295525209978223,0.975,4
249,ising,300,190,40,27,HTP_jit,0.38497844099765643,0.975,3
250,ising,300,190,40,27,HTP,3.3967151940014446,0.975,3
251,ising,300,190,40,27,CVXPY,1.4668775430036476,0.95,0
252,ising,300,190,40,28,SCOPE_jit,1.530762816000788,1.0,8
253,ising,300,190,40,28,SCOPE,16.93624586799706,1.0,9
254,ising,300,190,40,28,GraSP_jit,0.6361309379935847,0.975,10
255,ising,300,190,40,28,GraSP,13.321421658998588,0.975,10
256,ising,300,190,40,28,IHT_jit,0.3875786290009273,0.975,6
257,ising,300,190,40,28,IHT,1.1847369460010668,0.975,6
258,ising,300,190,40,28,HTP_jit,0.5610038130034809,1.0,10
259,ising,300,190,40,28,HTP,9.793857579999894,1.0,10
260,ising,300,190,40,28,CVXPY,1.2084051339988946,0.925,0
261,ising,300,190,40,29,SCOPE_jit,1.3141975609978545,1.0,8
262,ising,300,190,40,29,SCOPE,11.1456848730013,1.0,8
263,ising,300,190,40,29,GraSP_jit,0.5133532609979738,0.975,8
264,ising,300,190,40,29,GraSP,7.663841735004098,0.975,8
265,ising,300,190,40,29,IHT_jit,0.3052034660067875,0.95,4
266,ising,300,190,40,29,IHT,1.064480900997296,0.95,4
267,ising,300,190,40,29,HTP_jit,0.4266837850009324,0.95,5
268,ising,300,190,40,29,HTP,8.601415484001336,0.95,5
269,ising,300,190,40,29,CVXPY,2.5738120039968635,0.925,0
270,ising,400,190,40,30,SCOPE_jit,3.216334076001658,1.0,7
271,ising,400,190,40,30,SCOPE,18.868713003997982,1.0,7
272,ising,400,190,40,30,GraSP_jit,0.8571067399971071,1.0,6
273,ising,400,190,40,30,GraSP,9.596649587001593,1.0,6
274,ising,400,190,40,30,IHT_jit,0.32306615799461724,1.0,4
275,ising,400,190,40,30,IHT,1.3232848730040132,1.0,4
276,ising,400,190,40,30,HTP_jit,0.3625889209943125,1.0,3
277,ising,400,190,40,30,HTP,2.6029462839942425,1.0,3
278,ising,400,190,40,30,CVXPY,1.6482276290043956,0.975,0
279,ising,400,190,40,31,SCOPE_jit,2.4592868779946,1.0,14
280,ising,400,190,40,31,SCOPE,25.032354363000195,1.0,14
281,ising,400,190,40,31,GraSP_jit,0.9403196780040162,0.975,12
282,ising,400,190,40,31,GraSP,19.433238091005478,0.975,12
283,ising,400,190,40,31,IHT_jit,0.32618451500457013,0.925,5
284,ising,400,190,40,31,IHT,0.8218627679962083,0.925,5
285,ising,400,190,40,31,HTP_jit,0.5459392109987675,1.0,4
