n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
130,100,10,1,1,0.374446392,50.30786085
450,100,10,1,1,0.902389526,0.733868122
510,100,10,0.9,0.9,1.694055319,4.659039021
210,100,10,1,1,0.362745047,2.373986244
350,100,10,1,1,0.624167204,1.256822586
630,100,10,1,1,1.72901845,1.87307477
180,100,10,0.9,0.9,0.572591543,14.76086998
390,100,10,0.8,0.8,1.126410723,1.628864288
710,100,10,1,1,1.55100584,0.73485589
920,100,10,0.9,0.9,2.086404562,1.743045807
750,100,10,0.8,0.8,2.376220942,5.293194771
890,100,10,1,1,2.207178831,0.874599695
590,100,10,0.8,0.8,1.814958572,5.788870096
440,100,10,1,1,0.97343564,0.563001633
970,100,10,0.9,0.9,2.051823854,40.79560781
480,100,10,1,1,0.862386227,1.164902449
320,100,10,0.9,0.9,0.603234291,2.326533794
110,100,10,0.9,0.9,0.162712812,219.6616001
360,100,10,0.9,0.8,0.604272127,7.016632795
980,100,10,0.9,0.9,1.598934174,1.072875738
150,100,10,0.9,0.9,0.260225773,185.8811886
120,100,10,0.8,0.8,0.231956005,341.5262923
410,100,10,0.9,0.9,0.533984423,0.947773695
200,100,10,0.9,0.9,1.025045395,2.803845882
690,100,10,1,1,2.316448689,8.142948866
240,100,10,0.9,0.9,0.777499437,8.746012926
380,100,10,1,1,0.648518801,1.44636178
940,100,10,0.9,0.9,2.217483997,0.718461752
470,100,10,1,1,1.157804728,0.789595842
540,100,10,1,1,1.254154682,0.902631044
1000,100,10,1,1,2.172570705,0.983689785
610,100,10,1,1,1.484621048,1.066615582
830,100,10,1,1,2.045130253,0.998966217
700,100,10,0.9,0.9,1.290078878,0.881328821
220,100,10,0.9,0.9,0.635679007,6.164465427
580,100,10,1,1,1.561323404,0.811445951
960,100,10,0.9,0.9,2.030528545,0.548232317
270,100,10,1,1,0.671957254,1.200260639
800,100,10,0.9,0.9,1.349769354,0.529448986
310,100,10,0.9,0.9,0.818465471,5.081029415
100,100,10,0.8,0.8,0.20751071,1075.658169
670,100,10,1,1,0.942941904,0.713300228
810,100,10,0.9,0.9,2.650043249,1.268646955
570,100,10,1,1,0.886075497,0.489891052
660,100,10,1,1,1.443010092,0.605232239
500,100,10,0.9,0.9,0.843585968,1.291855335
930,100,10,1,1,2.362411022,1.141633034
840,100,10,1,1,2.561731339,0.683886766
190,100,10,0.8,0.8,0.755955935,23.67937827
680,100,10,0.9,0.9,1.273332119,0.811911821
230,100,10,1,1,0.554037809,5.967861891
730,100,10,1,1,2.268712282,0.478304625
250,100,10,0.9,0.9,0.720441818,1.86882472
290,100,10,0.9,0.9,0.841814756,77.23006153
770,100,10,1,1,0.905850172,0.402152538
160,100,10,0.8,0.8,0.282038689,44.76499295
870,100,10,0.9,0.9,2.808030367,0.727705479
420,100,10,0.9,0.9,1.542637587,5.495712996
330,100,10,0.9,0.9,0.83387208,2.703562975
170,100,10,1,1,0.283178329,9.922399044
600,100,10,0.9,0.9,1.22560215,1.483506918
