n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
98,100,10,0.8,0.8,0.192061186,2405.261504
14,100,10,0.2,0.1,0.043575048,10003.08437
17,100,10,0.2,0.1,0.083690166,10003.16119
94,100,10,0.9,0.9,0.173892021,10001.44436
15,100,10,0.2,0.4,0.051920414,10003.32698
91,100,10,0.8,0.8,0.196088552,10004.81736
95,100,10,0.8,0.9,0.212286949,10002.89424
12,100,10,0.1,0.2,0.048477173,772.4144642
18,100,10,0.4,0.4,0.07418251,10004.36121
19,100,10,0.3,0.2,0.079661608,10003.35326
16,100,10,0.2,0,0.059601545,10003.36418
92,100,10,0.6,0.6,0.259617805,10003.8134
13,100,10,0.1,0,0.041426182,10003.29247
97,100,10,0.9,0.9,0.244079351,6203.405855
11,100,10,0.2,0,0.028175831,0.807847023
93,100,10,0.9,0.9,0.169933796,10003.10175
99,100,10,0.8,0.8,0.223567486,3065.168572
96,100,10,0.8,0.8,0.210839748,4234.930208
98,100,10,0.8,0.8,0.190564394,283.3537352
14,100,10,0.1,0.1,0.037512779,10003.06011
17,100,10,0.2,0.2,0.06621623,10003.16455
94,100,10,0.8,0.8,0.17527318,10001.7435
15,100,10,0,0.2,0.065186501,10002.95691
91,100,10,0.9,0.9,0.193335295,10003.11865
95,100,10,0.8,0.8,0.189984083,1946.942897
12,100,10,0.2,0.3,0.034367561,932.3649414
18,100,10,0.3,0.1,0.04587245,10003.37805
19,100,10,0.1,0.4,0.057285309,10003.07578
16,100,10,0.1,0.1,0.057159901,10004.04249
92,100,10,0.9,0.8,0.199499607,10002.47281
13,100,10,0.1,0.1,0.038455248,10003.04535
97,100,10,0.8,0.8,0.273132086,5778.278073
11,100,10,0.1,0.1,0.025882006,0.377590895
93,100,10,0.8,0.8,0.179379225,10001.97283
