{'n': 100, 'k': 30, 'seed': 12530, 'Lasso_accuracy': 0.8333333333333334, 'Lasso_best_lambda': 50.0, 'Lasso_time': 73.7152681350708, 'GraHTP_accuracy': 0.8, 'GraHTP_time': 0.03065347671508789, 'GraHTP_cv_accuracy': 0.8666666666666667, 'GraHTP_best_step_size': 0.005994842503189409, 'GraHTP_cv_time': 0.6460814476013184, 'GraSP_accuracy': 0.7666666666666667, 'GraSP_time': 0.036370277404785156, 'SCOPE_accuracy': 0.9, 'SCOPE_time': 0.2893531322479248}
{'n': 50, 'k': 30, 'seed': 12491, 'Lasso_accuracy': 0.7333333333333333, 'Lasso_best_lambda': 23.4375, 'Lasso_time': 33.00791621208191, 'GraHTP_accuracy': 0.6666666666666666, 'GraHTP_time': 0.00815272331237793, 'GraHTP_cv_accuracy': 0.7, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.12702178955078125, 'GraSP_accuracy': 0.6333333333333333, 'GraSP_time': 0.023967981338500977, 'SCOPE_accuracy': 0.6666666666666666, 'SCOPE_time': 0.2940094470977783}
{'n': 100, 'k': 30, 'seed': 12550, 'Lasso_accuracy': 0.7666666666666667, 'Lasso_best_lambda': 56.25, 'Lasso_time': 81.0906867980957, 'GraHTP_accuracy': 0.7, 'GraHTP_time': 0.03146243095397949, 'GraHTP_cv_accuracy': 0.8, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.44344258308410645, 'GraSP_accuracy': 0.7, 'GraSP_time': 0.06396055221557617, 'SCOPE_accuracy': 0.8, 'SCOPE_time': 0.6818292140960693}
{'n': 50, 'k': 30, 'seed': 12411, 'Lasso_accuracy': 0.6333333333333333, 'Lasso_best_lambda': 26.5625, 'Lasso_time': 40.21917152404785, 'GraHTP_accuracy': 0.5333333333333333, 'GraHTP_time': 0.0485076904296875, 'GraHTP_cv_accuracy': 0.5666666666666667, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.2841000556945801, 'GraSP_accuracy': 0.5333333333333333, 'GraSP_time': 0.0389406681060791, 'SCOPE_accuracy': 0.6333333333333333, 'SCOPE_time': 0.4084327220916748}
{'n': 50, 'k': 30, 'seed': 12431, 'Lasso_accuracy': 0.8, 'Lasso_best_lambda': 25.1953125, 'Lasso_time': 47.05871605873108, 'GraHTP_accuracy': 0.7666666666666667, 'GraHTP_time': 0.01634359359741211, 'GraHTP_cv_accuracy': 0.8333333333333334, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.13075685501098633, 'GraSP_accuracy': 0.7333333333333333, 'GraSP_time': 0.019807100296020508, 'SCOPE_accuracy': 0.7666666666666667, 'SCOPE_time': 0.22293472290039062}
{'n': 50, 'k': 30, 'seed': 12461, 'Lasso_accuracy': 0.7666666666666667, 'Lasso_best_lambda': 23.11248779296875, 'Lasso_time': 42.63621139526367, 'GraHTP_accuracy': 0.6666666666666666, 'GraHTP_time': 0.009843587875366211, 'GraHTP_cv_accuracy': 0.7333333333333333, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.08540558815002441, 'GraSP_accuracy': 0.7333333333333333, 'GraSP_time': 0.014138221740722656, 'SCOPE_accuracy': 0.7333333333333333, 'SCOPE_time': 0.2570803165435791}
{'n': 50, 'k': 30, 'seed': 12481, 'Lasso_accuracy': 0.6333333333333333, 'Lasso_best_lambda': 26.18408203125, 'Lasso_time': 47.532182455062866, 'GraHTP_accuracy': 0.5, 'GraHTP_time': 0.008837461471557617, 'GraHTP_cv_accuracy': 0.5666666666666667, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.11203527450561523, 'GraSP_accuracy': 0.36666666666666664, 'GraSP_time': 0.01914072036743164, 'SCOPE_accuracy': 0.6333333333333333, 'SCOPE_time': 0.5063004493713379}
{'n': 50, 'k': 30, 'seed': 12421, 'Lasso_accuracy': 0.6666666666666666, 'Lasso_best_lambda': 23.4375, 'Lasso_time': 41.65403604507446, 'GraHTP_accuracy': 0.7, 'GraHTP_time': 0.010368824005126953, 'GraHTP_cv_accuracy': 0.7666666666666667, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.09885549545288086, 'GraSP_accuracy': 0.7, 'GraSP_time': 0.025725841522216797, 'SCOPE_accuracy': 0.7666666666666667, 'SCOPE_time': 0.6784000396728516}
{'n': 50, 'k': 30, 'seed': 12441, 'Lasso_accuracy': 0.7, 'Lasso_best_lambda': 28.125, 'Lasso_time': 39.56362295150757, 'GraHTP_accuracy': 0.6666666666666666, 'GraHTP_time': 0.031574249267578125, 'GraHTP_cv_accuracy': 0.7666666666666667, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.19047999382019043, 'GraSP_accuracy': 0.7333333333333333, 'GraSP_time': 0.02525496482849121, 'SCOPE_accuracy': 0.6333333333333333, 'SCOPE_time': 0.2675657272338867}
{'n': 50, 'k': 30, 'seed': 12471, 'Lasso_accuracy': 0.6666666666666666, 'Lasso_best_lambda': 28.67603302001953, 'Lasso_time': 44.26055932044983, 'GraHTP_accuracy': 0.7, 'GraHTP_time': 0.022161006927490234, 'GraHTP_cv_accuracy': 0.7666666666666667, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.14764714241027832, 'GraSP_accuracy': 0.6, 'GraSP_time': 0.01658463478088379, 'SCOPE_accuracy': 0.7333333333333333, 'SCOPE_time': 0.19170093536376953}
