,n,p,k,sigma,autodiff_accuracy,lasso_accuracy,autodiff_time,lasso_time,best_lambda,lasso_1_accuracy,lasso_10_accuracy
0,100,5,1,0.4472135954999579,1.0,1.0,12.074107885360718,0.4696483612060547,1.0,1.0,1.0
1,100,15,1,0.4472135954999579,1.0,1.0,213.31113696098328,2.3491408824920654,3.1622776601683795,0.0,1.0
2,100,4,1,0.4472135954999579,1.0,1.0,3.3754515647888184,0.14223742485046387,1.0,1.0,0.0
3,100,11,1,0.4472135954999579,1.0,1.0,78.162921667099,0.4292106628417969,1.0,1.0,1.0
4,100,1,5,0.4472135954999579,0.5,0.3333333333333333,0.7258079051971436,0.6077420711517334,1.0,0.3333333333333333,0.16666666666666666
5,100,19,5,0.4472135954999579,1.0,1.0,1092.772723197937,4.388021230697632,3.1622776601683795,0.16666666666666666,0.8333333333333334
6,100,2,5,0.4472135954999579,0.6666666666666666,0.5,1.8271114826202393,0.3379843235015869,1.0,0.5,0.16666666666666666
7,100,17,1,0.4472135954999579,1.0,1.0,346.9690885543823,4.535325527191162,3.1622776601683795,0.0,1.0
8,100,18,5,0.4472135954999579,1.0,1.0,1361.8379383087158,4.794609546661377,3.1622776601683795,0.0,0.8333333333333334
9,100,19,1,0.4472135954999579,1.0,1.0,519.9808585643768,3.3538756370544434,3.1622776601683795,0.0,1.0
10,100,7,5,0.4472135954999579,0.8333333333333334,0.8333333333333334,60.3903386592865,2.7917730808258057,3.1622776601683795,0.3333333333333333,0.3333333333333333
11,100,1,1,0.4472135954999579,1.0,1.0,0.10056805610656738,0.3730330467224121,1.0,1.0,0.0
12,100,12,5,0.4472135954999579,1.0,0.8333333333333334,299.1267569065094,2.6254634857177734,3.1622776601683795,0.16666666666666666,0.8333333333333334
13,100,6,5,0.4472135954999579,0.8333333333333334,0.8333333333333334,43.093788623809814,2.822803258895874,3.1622776601683795,0.0,0.5
14,100,8,5,0.4472135954999579,1.0,1.0,105.70529675483704,2.6954822540283203,3.1622776601683795,0.0,0.6666666666666666
15,100,7,1,0.4472135954999579,1.0,1.0,26.67268180847168,0.6473209857940674,1.0,1.0,1.0
16,100,20,5,0.4472135954999579,1.0,1.0,1515.9528226852417,2.8047115802764893,3.1622776601683795,0.0,0.8333333333333334
17,100,3,5,0.4472135954999579,0.5,0.6666666666666666,5.873958349227905,0.6745786666870117,1.0,0.6666666666666666,0.5
18,100,2,1,0.4472135954999579,1.0,1.0,0.9969601631164551,0.15519356727600098,1.0,1.0,0.0
19,100,18,1,0.4472135954999579,1.0,1.0,330.40256929397583,2.434229612350464,3.1622776601683795,0.0,1.0
20,100,6,1,0.4472135954999579,1.0,1.0,16.236015558242798,0.6734232902526855,1.0,1.0,1.0
21,100,20,1,0.4472135954999579,1.0,1.0,516.480340719223,2.4454891681671143,3.1622776601683795,0.0,1.0
22,100,14,5,0.4472135954999579,1.0,1.0,515.8493676185608,3.4460244178771973,3.1622776601683795,0.0,0.8333333333333334
23,100,5,5,0.4472135954999579,0.8333333333333334,0.8333333333333334,25.042779207229614,4.284027099609375,3.1622776601683795,0.0,0.5
24,100,13,5,0.4472135954999579,1.0,1.0,359.3195984363556,5.121827602386475,3.1622776601683795,0.0,0.8333333333333334
25,100,12,1,0.4472135954999579,1.0,1.0,102.63375568389893,0.43254542350769043,1.0,1.0,1.0
26,100,10,5,0.4472135954999579,1.0,1.0,203.86224150657654,4.768452882766724,3.1622776601683795,0.16666666666666666,0.8333333333333334
