,n,seed,SCOPE_accuracy,SCOPE_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time
0,50,12345,0.16,0.6511907577514648,0.16,0.11970686912536621,0.16,0.0001,3.605041980743408,0.18,1.4275410175323486
1,50,12346,0.16,0.18925809860229492,0.16,0.12802505493164062,0.16,0.0001668100537200059,3.870853900909424,0.14,1.331972360610962
2,50,12347,0.26,0.9882423877716064,0.26,0.49999451637268066,0.26,0.0002782559402207126,6.37211275100708,0.26,1.7602627277374268
3,50,12348,0.32,0.08246064186096191,0.32,0.02221369743347168,0.32,0.0002782559402207126,0.2126319408416748,0.26,0.11032772064208984
4,50,12349,0.24,0.09484052658081055,0.24,0.022001266479492188,0.24,0.0001,0.20646214485168457,0.2,0.11218762397766113
5,50,12350,0.26,0.08576440811157227,0.26,0.021143674850463867,0.26,0.002154434690031882,0.21253418922424316,0.16,0.11476683616638184
6,50,12351,0.22,0.6308624744415283,0.22,0.12768030166625977,0.22,0.003593813663804626,2.4887070655822754,0.22,0.6593058109283447
7,50,12352,0.22,0.11373400688171387,0.22,0.03770852088928223,0.22,0.001291549665014884,0.6116583347320557,0.28,0.3147294521331787
8,50,12353,0.22,0.8367161750793457,0.22,0.33168554306030273,0.22,0.0001,0.8783495426177979,0.2,1.2581543922424316
9,50,12354,0.28,0.10580897331237793,0.28,0.020363569259643555,0.28,0.003593813663804626,0.21079063415527344,0.2,0.6045007705688477
10,50,12355,0.2,0.041205406188964844,0.2,0.060240983963012695,0.2,0.002154434690031882,1.1364221572875977,0.16,1.4320447444915771
11,50,12356,0.16,0.03862285614013672,0.16,0.02068185806274414,0.16,0.01,0.6192259788513184,0.2,0.11221981048583984
12,50,12357,0.3,0.1957402229309082,0.3,0.10187053680419922,0.3,0.005994842503189409,1.311319351196289,0.26,0.5536196231842041
13,50,12358,0.28,0.0919339656829834,0.28,0.03287911415100098,0.28,0.01,0.2625308036804199,0.32,0.11700057983398438
14,50,12359,0.2,1.2330958843231201,0.2,0.17762327194213867,0.2,0.0002782559402207126,4.601987361907959,0.14,2.3061697483062744
15,50,12360,0.18,0.8449468612670898,0.18,0.2187809944152832,0.18,0.003593813663804626,1.275916337966919,0.18,1.5265254974365234
16,50,12361,0.2,0.12646961212158203,0.2,0.021697998046875,0.2,0.000774263682681127,0.2734861373901367,0.22,0.11168789863586426
17,50,12362,0.22,0.4565703868865967,0.22,0.19325852394104004,0.22,0.0002782559402207126,1.5815210342407227,0.12,1.036172866821289
18,50,12363,0.24,0.31874942779541016,0.24,0.12883448600769043,0.24,0.002154434690031882,1.8342394828796387,0.16,2.6886415481567383
19,50,12364,0.22,0.051529884338378906,0.22,0.021821975708007812,0.22,0.005994842503189409,0.4889185428619385,0.2,0.4225490093231201
20,50,12365,0.28,0.276949405670166,0.28,0.40838050842285156,0.28,0.0001,3.3395228385925293,0.26,1.9293999671936035
21,50,12366,0.18,0.1412205696105957,0.18,0.022444963455200195,0.18,0.005994842503189409,0.31946635246276855,0.2,0.21252202987670898
22,50,12367,0.26,0.11896347999572754,0.26,0.056455135345458984,0.26,0.003593813663804626,1.3241875171661377,0.12,1.1965816020965576
23,50,12368,0.22,0.08391880989074707,0.22,0.04010796546936035,0.22,0.002154434690031882,1.271913766860962,0.26,0.2895700931549072
24,50,12369,0.24,0.41320013999938965,0.24,0.16006231307983398,0.24,0.005994842503189409,3.54560923576355,0.26,0.3645033836364746
25,50,12370,0.18,0.1413707733154297,0.18,0.17487025260925293,0.18,0.003593813663804626,1.4339981079101562,0.22,0.6121401786804199
26,50,12371,0.22,0.225128173828125,0.22,0.4889862537384033,0.22,0.00046415888336127773,3.6403069496154785,0.12,0.20313787460327148
27,50,12372,0.22,0.6648719310760498,0.22,0.349013090133667,0.22,0.0002782559402207126,7.375944137573242,0.28,2.2014713287353516
28,50,12373,0.2,0.3264331817626953,0.2,0.15934300422668457,0.2,0.002154434690031882,3.433849811553955,0.2,1.4034967422485352
29,50,12374,0.18,0.11357259750366211,0.18,0.021410226821899414,0.18,0.01,0.21084380149841309,0.16,0.11474800109863281
30,50,12375,0.18,0.4282534122467041,0.18,0.0365450382232666,0.18,0.005994842503189409,0.5751845836639404,0.14,0.31305956840515137
31,50,12376,0.28,0.09821152687072754,0.28,0.020531654357910156,0.28,0.0001668100537200059,0.36173367500305176,0.26,1.2287304401397705
32,50,12377,0.2,0.2867419719696045,0.2,0.1548905372619629,0.2,0.001291549665014884,2.061249256134033,0.24,1.575014591217041
33,50,12378,0.28,0.9291801452636719,0.28,0.18651652336120605,0.28,0.0001,3.373469114303589,0.24,3.7486653327941895
34,50,12379,0.14,0.6569347381591797,0.14,0.2809748649597168,0.14,0.001291549665014884,1.8203890323638916,0.16,1.0610649585723877
35,50,12380,0.2,0.47951507568359375,0.2,0.07340002059936523,0.18,0.005994842503189409,3.160085678100586,0.24,2.0842840671539307
36,50,12381,0.22,0.03953814506530762,0.22,0.02185511589050293,0.22,0.001291549665014884,0.2056419849395752,0.22,0.11156201362609863
37,50,12382,0.3,0.10188674926757812,0.3,0.9254183769226074,0.3,0.001291549665014884,4.5096657276153564,0.24,1.1343586444854736
38,50,12383,0.26,0.7404375076293945,0.26,0.15025901794433594,0.26,0.002154434690031882,2.8556888103485107,0.28,0.37070131301879883
39,50,12384,0.32,0.20244741439819336,0.32,0.09460091590881348,0.32,0.005994842503189409,1.0869941711425781,0.26,1.2400238513946533
40,50,12385,0.28,0.12819910049438477,0.28,0.042626380920410156,0.28,0.0001668100537200059,1.9805634021759033,0.22,0.6021437644958496
41,50,12386,0.24,0.14008140563964844,0.24,0.03996610641479492,0.24,0.0002782559402207126,3.59765362739563,0.22,1.780073881149292
42,50,12387,0.18,0.34363460540771484,0.18,0.21564388275146484,0.18,0.000774263682681127,2.0772345066070557,0.16,0.8711445331573486
43,50,12388,0.22,0.11026859283447266,0.22,0.021504640579223633,0.22,0.003593813663804626,0.2093489170074463,0.18,0.1059885025024414
44,50,12389,0.16,0.1224360466003418,0.16,0.019415855407714844,0.16,0.002154434690031882,0.7972190380096436,0.2,0.1080164909362793
45,50,12390,0.26,0.5240366458892822,0.26,0.5469515323638916,0.26,0.002154434690031882,3.2602813243865967,0.24,1.249544382095337
