,n,seed,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_cv_time,GraSP_accuracy,GraSP_time
0,50,10000,0.22,5.1605448722839355,0.22,40.005918741226196,0.22,9.661277770996094
1,50,10001,0.28,2.5477380752563477,0.28,26.177212953567505,0.22,3.833989381790161
2,50,10002,0.16,1.409987449645996,0.16,27.34043574333191,0.2,4.26605749130249
3,50,10003,0.24,1.3954966068267822,0.24,19.629859447479248,0.22,6.612249374389648
4,50,10004,0.16,1.2541792392730713,0.16,29.501525402069092,0.18,5.7640063762664795
5,50,10005,0.26,2.5984907150268555,0.26,20.797054767608643,0.2,2.957855701446533
6,50,10006,0.26,1.6154515743255615,0.26,24.205329656600952,0.24,8.162919521331787
7,50,10007,0.24,3.8551135063171387,0.24,27.557791471481323,0.26,10.52357530593872
8,50,10008,0.22,3.128281593322754,0.22,24.077840328216553,0.18,6.011448621749878
9,50,10009,0.22,4.739148139953613,0.22,25.217210054397583,0.12,8.961399793624878
10,50,10010,0.14,2.538111925125122,0.14,27.417792558670044,0.14,7.45879054069519
11,50,10011,0.26,1.5851328372955322,0.26,25.172118663787842,0.28,8.743127584457397
12,50,10012,0.24,2.8884801864624023,0.24,25.689496278762817,0.22,2.080190658569336
13,50,10013,0.16,1.162339210510254,0.16,28.88228750228882,0.14,5.609725475311279
14,50,10014,0.2,2.3344199657440186,0.2,25.597886085510254,0.18,6.1242454051971436
15,50,10015,0.2,1.8432259559631348,0.2,19.92568588256836,0.1,5.262553930282593
16,50,10016,0.16,1.1158504486083984,0.16,20.38113260269165,0.18,3.7682487964630127
17,50,10017,0.24,1.5558764934539795,0.24,26.990110158920288,0.26,4.164382219314575
18,50,10018,0.22,1.1880347728729248,0.22,21.15899133682251,0.16,3.526279926300049
19,50,10019,0.18,1.552140474319458,0.18,23.993852615356445,0.2,4.118327856063843
20,50,10020,0.26,1.611711025238037,0.26,23.071354389190674,0.26,9.048489570617676
21,50,10021,0.18,0.9988448619842529,0.18,23.4281587600708,0.18,6.954554796218872
22,50,10022,0.22,1.2752172946929932,0.22,23.523212671279907,0.16,4.375735282897949
23,50,10023,0.22,1.5559794902801514,0.22,27.605759620666504,0.2,6.804911375045776
24,50,10024,0.3,7.390746831893921,0.3,26.49529457092285,0.3,5.126128435134888
25,50,10025,0.22,2.387375593185425,0.22,19.806793212890625,0.14,4.287003755569458
26,50,10026,0.18,2.4721760749816895,0.18,34.58743453025818,0.16,7.763590097427368
27,50,10027,0.16,1.4586176872253418,0.16,28.50800848007202,0.1,4.370071887969971
28,50,10028,0.3,1.4192302227020264,0.3,30.192346572875977,0.24,5.004591703414917
29,50,10029,0.24,1.170926570892334,0.24,21.230382442474365,0.22,7.313043832778931
30,50,10030,0.18,4.507544994354248,0.18,23.016077518463135,0.18,9.509494543075562
31,50,10031,0.22,2.9771335124969482,0.22,22.759644746780396,0.16,3.2805542945861816
32,50,10032,0.14,1.1890287399291992,0.14,27.051634788513184,0.2,5.89298939704895
33,50,10033,0.24,2.627232074737549,0.24,25.567946910858154,0.22,7.535705089569092
34,50,10034,0.22,2.742072820663452,0.22,22.804688930511475,0.24,10.187792301177979
35,50,10035,0.28,1.222395420074463,0.28,35.76495051383972,0.16,11.575204133987427
36,50,10036,0.2,1.6388492584228516,0.2,17.588850259780884,0.24,2.7979109287261963
37,50,10037,0.28,2.2845571041107178,0.28,18.947919130325317,0.22,3.4449973106384277
38,50,10038,0.26,2.534592628479004,0.26,18.59428095817566,0.2,4.477008581161499
39,50,10039,0.16,0.8722732067108154,0.16,15.862258672714233,0.16,6.698315858840942
40,50,10040,0.22,0.5249991416931152,0.22,17.252998113632202,0.28,2.4435322284698486
41,50,10041,0.16,1.5455434322357178,0.18,21.661997318267822,0.2,3.788771629333496
42,50,10042,0.22,0.9371075630187988,0.22,19.801676034927368,0.26,2.9291563034057617
