,n,seed,IHT_accuracy,IHT_cv_accuracy,model
153,100,10153,0.12,0.28,linear
154,100,10154,0.16,0.26,linear
155,100,10155,0.12,0.4,linear
156,100,10156,0.14,0.38,linear
157,100,10157,0.14,0.36,linear
158,100,10158,0.24,0.3,linear
159,100,10159,0.1,0.3,linear
160,100,10160,0.08,0.42,linear
161,100,10161,0.08,0.28,linear
162,100,10162,0.06,0.36,linear
163,100,10163,0.16,0.36,linear
164,100,10164,0.08,0.26,linear
165,100,10165,0.42,0.4,linear
166,100,10166,0.34,0.38,linear
167,100,10167,0.16,0.32,linear
168,100,10168,0.3,0.32,linear
169,100,10169,0.12,0.26,linear
170,100,10170,0.04,0.34,linear
171,100,10171,0.1,0.32,linear
172,100,10172,0.06,0.36,linear
173,100,10173,0.12,0.26,linear
174,100,10174,0.04,0.32,linear
175,100,10175,0.06,0.34,linear
176,100,10176,0.1,0.42,linear
177,100,10177,0.12,0.2,linear
178,100,10178,0.04,0.38,linear
179,100,10179,0.36,0.36,linear
180,100,10180,0.32,0.28,linear
181,100,10181,0.22,0.28,linear
182,100,10182,0.08,0.32,linear
183,100,10183,0.06,0.26,linear
184,100,10184,0.06,0.34,linear
185,100,10185,0.08,0.32,linear
186,100,10186,0.34,0.38,linear
187,100,10187,0.08,0.34,linear
188,100,10188,0.28,0.32,linear
189,100,10189,0.24,0.26,linear
190,100,10190,0.28,0.28,linear
191,100,10191,0.04,0.4,linear
192,100,10192,0.36,0.36,linear
193,100,10193,0.32,0.3,linear
194,100,10194,0.28,0.28,linear
195,100,10195,0.08,0.34,linear
196,100,10196,0.12,0.36,linear
197,100,10197,0.24,0.3,linear
198,100,10198,0.04,0.32,linear
199,100,10199,0.08,0.36,linear
200,150,10200,0.12,0.48,linear
201,150,10201,0.06,0.34,linear
202,150,10202,0.1,0.5,linear
203,150,10203,0.08,0.32,linear
204,150,10204,0.1,0.44,linear
205,150,10205,0.14,0.44,linear
206,150,10206,0.14,0.44,linear
207,150,10207,0.08,0.5,linear
208,150,10208,0.1,0.52,linear
209,150,10209,0.1,0.42,linear
210,150,10210,0.18,0.46,linear
211,150,10211,0.12,0.54,linear
212,150,10212,0.06,0.38,linear
213,150,10213,0.16,0.46,linear
214,150,10214,0.04,0.4,linear
215,150,10215,0.14,0.52,linear
216,150,10216,0.2,0.48,linear
217,150,10217,0.16,0.36,linear
218,150,10218,0.04,0.38,linear
219,150,10219,0.2,0.4,linear
220,150,10220,0.12,0.52,linear
221,150,10221,0.16,0.42,linear
222,150,10222,0.1,0.4,linear
223,150,10223,0.1,0.4,linear
224,150,10224,0.14,0.44,linear
225,150,10225,0.1,0.38,linear
226,150,10226,0.14,0.48,linear
227,150,10227,0.1,0.42,linear
