{'n': 100, 'seed': 1020, 'SCOPE_accuracy': 0.28, 'SCOPE_time': 0.22023677825927734, 'GraHTP_accuracy': 0.28, 'GraHTP_time': 0.08904719352722168, 'GraHTP_cv_accuracy': 0.28, 'GraHTP_best_step_size': 0.001291549665014884, 'GraHTP_cv_time': 1.307680368423462, 'GraSP_accuracy': 0.28, 'GraSP_time': 5.739575147628784}
{'n': 300, 'seed': 1210, 'SCOPE_accuracy': 0.62, 'SCOPE_time': 3.5184249877929688, 'GraHTP_accuracy': 0.54, 'GraHTP_time': 0.026645421981811523, 'GraHTP_cv_accuracy': 0.62, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 5.616783618927002, 'GraSP_accuracy': 0.46, 'GraSP_time': 3.9358747005462646}
{'n': 200, 'seed': 1170, 'SCOPE_accuracy': 0.34, 'SCOPE_time': 0.10556983947753906, 'GraHTP_accuracy': 0.34, 'GraHTP_time': 0.023730039596557617, 'GraHTP_cv_accuracy': 0.34, 'GraHTP_best_step_size': 0.005994842503189409, 'GraHTP_cv_time': 0.5499088764190674, 'GraSP_accuracy': 0.24, 'GraSP_time': 0.12734460830688477}
{'n': 300, 'seed': 1270, 'SCOPE_accuracy': 0.5, 'SCOPE_time': 1.0928676128387451, 'GraHTP_accuracy': 0.52, 'GraHTP_time': 0.11202526092529297, 'GraHTP_cv_accuracy': 0.54, 'GraHTP_best_step_size': 0.001291549665014884, 'GraHTP_cv_time': 0.33646321296691895, 'GraSP_accuracy': 0.44, 'GraSP_time': 0.4057474136352539}
{'n': 200, 'seed': 1120, 'SCOPE_accuracy': 0.48, 'SCOPE_time': 4.197169065475464, 'GraHTP_accuracy': 0.48, 'GraHTP_time': 0.24437308311462402, 'GraHTP_cv_accuracy': 0.48, 'GraHTP_best_step_size': 0.003593813663804626, 'GraHTP_cv_time': 12.387955904006958, 'GraSP_accuracy': 0.42, 'GraSP_time': 3.21077036857605}
{'n': 100, 'seed': 1080, 'SCOPE_accuracy': 0.24, 'SCOPE_time': 1.4518420696258545, 'GraHTP_accuracy': 0.24, 'GraHTP_time': 1.1681585311889648, 'GraHTP_cv_accuracy': 0.24, 'GraHTP_best_step_size': 0.0001668100537200059, 'GraHTP_cv_time': 4.396690368652344, 'GraSP_accuracy': 0.24, 'GraSP_time': 2.6079180240631104}
{'n': 300, 'seed': 1241, 'SCOPE_accuracy': 0.62, 'SCOPE_time': 2.534421920776367, 'GraHTP_accuracy': 0.54, 'GraHTP_time': 0.08160066604614258, 'GraHTP_cv_accuracy': 0.58, 'GraHTP_best_step_size': 0.005994842503189409, 'GraHTP_cv_time': 1.0184650421142578, 'GraSP_accuracy': 0.48, 'GraSP_time': 1.9418375492095947}
{'n': 200, 'seed': 1150, 'SCOPE_accuracy': 0.38, 'SCOPE_time': 0.1873331069946289, 'GraHTP_accuracy': 0.38, 'GraHTP_time': 0.03553581237792969, 'GraHTP_cv_accuracy': 0.38, 'GraHTP_best_step_size': 0.003593813663804626, 'GraHTP_cv_time': 0.3130207061767578, 'GraSP_accuracy': 0.28, 'GraSP_time': 0.1801772117614746}
{'n': 200, 'seed': 1160, 'SCOPE_accuracy': 0.4, 'SCOPE_time': 2.183708429336548, 'GraHTP_accuracy': 0.4, 'GraHTP_time': 0.43419957160949707, 'GraHTP_cv_accuracy': 0.4, 'GraHTP_best_step_size': 0.0002782559402207126, 'GraHTP_cv_time': 3.6579911708831787, 'GraSP_accuracy': 0.28, 'GraSP_time': 2.1532206535339355}
{'n': 100, 'seed': 1010, 'SCOPE_accuracy': 0.32, 'SCOPE_time': 0.28553056716918945, 'GraHTP_accuracy': 0.32, 'GraHTP_time': 0.5602240562438965, 'GraHTP_cv_accuracy': 0.32, 'GraHTP_best_step_size': 0.0002782559402207126, 'GraHTP_cv_time': 4.058581590652466, 'GraSP_accuracy': 0.26, 'GraSP_time': 4.208523273468018}
