,n,seed,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_cv_time,GraSP_accuracy,GraSP_time
106,200,372,0.34,9.352260112762451,0.34,87.08845710754395,0.3,14.431905746459961
107,250,579,0.5,4.686318874359131,0.5,54.72898030281067,0.28,14.894867658615112
108,250,520,0.4,8.808202266693115,0.4,104.55427360534668,0.4,5.593169212341309
109,200,373,0.32,0.662456750869751,0.3,87.88515067100525,0.3,7.97851037979126
110,200,461,0.46,14.552144765853882,0.46,53.817421674728394,0.26,12.730616092681885
111,200,429,0.44,9.872715473175049,0.44,62.890260457992554,0.48,9.307764768600464
112,100,125,0.32,4.163712501525879,0.32,48.864651918411255,0.26,15.479465007781982
113,250,521,0.48,21.674413204193115,0.46,102.44370913505554,0.38,23.381816387176514
114,50,94,0.16,2.03398060798645,0.16,24.315682649612427,0.16,7.1685285568237305
115,150,336,0.34,5.430873155593872,0.34,58.1892466545105,0.22,7.756192445755005
116,50,34,0.18,1.1778266429901123,0.18,20.925694465637207,0.18,10.427749872207642
117,200,374,0.36,9.347337007522583,0.36,106.95288634300232,0.32,24.97979426383972
118,150,275,0.4,4.5627710819244385,0.4,74.00758981704712,0.24,14.793810606002808
119,250,580,0.46,21.158185243606567,0.44,183.4027557373047,0.44,41.868489027023315
120,200,462,0.44,7.504853248596191,0.44,90.81544280052185,0.28,13.734094142913818
121,200,375,0.44,6.417051315307617,0.44,63.92058610916138,0.38,12.31057095527649
122,100,153,0.22,1.8595306873321533,0.22,21.373217582702637,0.18,12.22602367401123
