,n,k,seed,SCOPE_accuracy,SCOPE_time
0,100,40,1234,0.75,0.48755884170532227
1,100,40,1235,0.875,0.3170347213745117
2,100,40,1236,0.675,0.8241763114929199
3,100,40,1237,0.85,0.3705716133117676
4,100,40,1238,0.85,0.3922767639160156
5,100,40,1239,0.85,0.31397485733032227
6,100,40,1240,0.775,0.6300694942474365
7,100,40,1241,0.775,0.44525861740112305
8,100,40,1242,0.7,0.5737607479095459
9,100,40,1243,0.75,0.7202653884887695
10,200,40,1244,0.875,0.6436145305633545
11,200,40,1245,0.95,0.7945923805236816
12,200,40,1246,0.85,0.5262289047241211
13,200,40,1247,0.95,0.49263787269592285
14,200,40,1248,0.925,0.3954043388366699
15,200,40,1249,1.0,0.4262988567352295
16,200,40,1250,0.975,0.5896224975585938
17,200,40,1251,1.0,0.5017726421356201
18,200,40,1252,0.9,0.49761533737182617
19,200,40,1253,0.925,0.6701364517211914
20,300,40,1254,0.925,0.9633290767669678
21,300,40,1255,1.0,0.8810172080993652
22,300,40,1256,1.0,0.6409139633178711
23,300,40,1257,1.0,0.7382431030273438
24,300,40,1258,1.0,0.7683961391448975
25,300,40,1259,1.0,0.520378828048706
26,300,40,1260,0.825,1.3851425647735596
27,300,40,1261,1.0,0.5164599418640137
28,300,40,1262,0.95,1.1931257247924805
29,300,40,1263,0.975,0.6670424938201904
30,400,40,1264,1.0,0.759796142578125
31,400,40,1265,1.0,1.2989411354064941
32,400,40,1266,0.975,0.7498090267181396
33,400,40,1267,1.0,1.1119139194488525
34,400,40,1268,0.975,0.8198764324188232
35,400,40,1269,1.0,1.3376171588897705
36,400,40,1270,1.0,0.9177544116973877
37,400,40,1271,1.0,1.0315272808074951
38,400,40,1272,1.0,0.8351361751556396
39,400,40,1273,1.0,0.7258353233337402
40,500,40,1274,1.0,1.6945650577545166
41,500,40,1275,0.975,1.6215574741363525
42,500,40,1276,1.0,1.5410113334655762
43,500,40,1277,1.0,0.948143482208252
44,500,40,1278,1.0,1.263918161392212
45,500,40,1279,0.975,1.730194330215454
46,500,40,1280,1.0,1.3224198818206787
47,500,40,1281,1.0,1.0638034343719482
48,500,40,1282,1.0,1.5436408519744873
49,500,40,1283,1.0,1.11857271194458
50,600,40,1284,0.975,1.450871229171753
51,600,40,1285,1.0,1.4679639339447021
52,600,40,1286,1.0,1.8069896697998047
53,600,40,1287,1.0,1.5120339393615723
54,600,40,1288,1.0,1.6309013366699219
55,600,40,1289,1.0,1.3932983875274658
56,600,40,1290,1.0,1.1643877029418945
57,600,40,1291,1.0,1.4787211418151855
58,600,40,1292,1.0,1.3608903884887695
59,600,40,1293,1.0,0.8394567966461182
60,700,40,1294,1.0,1.2804229259490967
61,700,40,1295,1.0,1.052175760269165
62,700,40,1296,1.0,1.6244313716888428
63,700,40,1297,1.0,1.3844218254089355
64,700,40,1298,1.0,1.8511629104614258
65,700,40,1299,1.0,1.2369897365570068
66,700,40,1300,1.0,1.997908592224121
67,700,40,1301,1.0,1.5516347885131836
68,700,40,1302,1.0,2.307365655899048
69,700,40,1303,1.0,2.088588237762451
70,800,40,1304,1.0,2.5574376583099365
71,800,40,1305,1.0,1.282414436340332
72,800,40,1306,1.0,1.9199490547180176
73,800,40,1307,1.0,1.687920331954956
74,800,40,1308,1.0,2.3183867931365967
75,800,40,1309,1.0,1.818507194519043
76,800,40,1310,1.0,1.3598785400390625
77,800,40,1311,1.0,1.3230705261230469
78,800,40,1312,1.0,1.3544366359710693
79,800,40,1313,1.0,1.7721726894378662
80,900,40,1314,1.0,1.583677053451538
81,900,40,1315,1.0,2.224393844604492
82,900,40,1316,1.0,1.967144250869751
83,900,40,1317,1.0,1.4335248470306396
84,900,40,1318,1.0,2.223181962966919
85,900,40,1319,0.925,2.750720262527466
86,900,40,1320,1.0,1.5199387073516846
87,900,40,1321,1.0,1.531287670135498
88,900,40,1322,1.0,2.5889344215393066
89,900,40,1323,1.0,2.6101953983306885
90,1000,40,1324,1.0,2.647081136703491
91,1000,40,1325,1.0,2.5928714275360107
92,1000,40,1326,1.0,2.9083664417266846
93,1000,40,1327,1.0,2.1777446269989014
94,1000,40,1328,1.0,2.2072975635528564
95,1000,40,1329,0.925,3.3737432956695557
96,1000,40,1330,1.0,2.9494402408599854
97,1000,40,1331,1.0,2.8266706466674805
98,1000,40,1332,1.0,1.6234807968139648
99,1000,40,1333,1.0,1.9858531951904297
