,model,n,p,k,seed,method,time,accuracy,n_iters
77,linear,100,500,50,8,IHT,0.2742222580000089,0.3,4.0
78,linear,100,500,50,8,HTP_jit,0.40838458600001104,0.18,9.0
79,linear,100,500,50,8,HTP,3.2700190089999523,0.18,9.0
80,linear,100,500,50,8,CVXPY,0.027615526000317914,0.24,0.0
81,linear,100,500,50,9,SCOPE_jit,1.0268301170003724,0.32,24.0
82,linear,100,500,50,9,SCOPE,11.34664271199972,0.32,24.0
83,linear,100,500,50,9,GraSP_jit,4.080274663000182,0.38,99.0
84,linear,100,500,50,9,GraSP,90.47047148900037,0.38,99.0
85,linear,100,500,50,9,IHT_jit,0.6497784680000223,0.4,3.0
86,linear,100,500,50,9,IHT,0.5815479530001539,0.4,3.0
87,linear,100,500,50,9,HTP_jit,0.3332130630001302,0.3,9.0
88,linear,100,500,50,9,HTP,3.1334635220000564,0.3,9.0
89,linear,100,500,50,9,CVXPY,0.11783441999978095,0.38,0.0
90,linear,100,500,50,10,SCOPE_jit,1.1285869240000466,0.28,26.0
91,linear,100,500,50,10,SCOPE,12.456613477000246,0.28,26.0
92,linear,100,500,50,10,GraSP_jit,1.3475689430001694,0.26,30.0
93,linear,100,500,50,10,GraSP,22.99703589300043,0.26,30.0
94,linear,100,500,50,10,IHT_jit,0.19308049699975527,0.28,4.0
95,linear,100,500,50,10,IHT,0.33903350600030535,0.28,4.0
96,linear,100,500,50,10,HTP_jit,0.6342370850002226,0.12,9.0
97,linear,100,500,50,10,HTP,1.9483834870002283,0.12,9.0
98,linear,100,500,50,10,CVXPY,0.1400147540002763,0.26,0.0
99,linear,100,500,50,11,SCOPE_jit,1.1109266379999099,0.26,24.0
100,linear,100,500,50,11,SCOPE,15.928730362999886,0.26,24.0
101,linear,100,500,50,11,GraSP_jit,5.031965760000276,0.24,99.0
102,linear,100,500,50,11,GraSP,100.2852744249999,0.24,99.0
103,linear,100,500,50,11,IHT_jit,0.24296360800008188,0.2,3.0
104,linear,100,500,50,11,IHT,0.357024537000143,0.2,3.0
105,linear,100,500,50,11,HTP_jit,0.30998001500029204,0.12,9.0
106,linear,100,500,50,11,HTP,2.8251160459999483,0.12,9.0
107,linear,100,500,50,11,CVXPY,0.01682815800040771,0.18,0.0
108,linear,100,500,50,12,SCOPE_jit,0.7317863660000512,0.26,20.0
109,linear,100,500,50,12,SCOPE,9.087287625000044,0.26,20.0
110,linear,100,500,50,12,GraSP_jit,2.0626306720000684,0.18,54.0
111,linear,100,500,50,12,GraSP,52.157435022999834,0.18,54.0
112,linear,100,500,50,12,IHT_jit,0.29155420699999013,0.36,3.0
113,linear,100,500,50,12,IHT,0.37275702100032504,0.36,3.0
114,linear,100,500,50,12,HTP_jit,0.3243573599997944,0.2,8.0
115,linear,100,500,50,12,HTP,3.099123884999699,0.2,8.0
116,linear,100,500,50,12,CVXPY,0.023325934000240522,0.32,0.0
117,linear,100,500,50,13,SCOPE_jit,0.6404472969998096,0.22,24.0
118,linear,100,500,50,13,SCOPE,10.815260518999821,0.22,24.0
119,linear,100,500,50,13,GraSP_jit,3.876265631000024,0.16,99.0
120,linear,100,500,50,13,GraSP,93.25556936200019,0.16,99.0
121,linear,100,500,50,13,IHT_jit,0.3106711710001946,0.26,1.0
122,linear,100,500,50,13,IHT,0.7260791059998155,0.26,1.0
123,linear,100,500,50,13,HTP_jit,0.4915979200000038,0.18,8.0
124,linear,100,500,50,13,HTP,2.300325888000316,0.18,8.0
125,linear,100,500,50,13,CVXPY,0.07508423100034634,0.32,0.0
126,linear,100,500,50,14,SCOPE_jit,0.9623824760001298,0.28,26.0
127,linear,100,500,50,14,SCOPE,14.396422647000236,0.28,26.0
128,linear,100,500,50,14,GraSP_jit,2.7032825149999553,0.28,59.0
129,linear,100,500,50,14,GraSP,54.653663611999946,0.28,59.0
130,linear,100,500,50,14,IHT_jit,0.4459579079998548,0.4,1.0
131,linear,100,500,50,14,IHT,0.26132286899974133,0.4,1.0
132,linear,100,500,50,14,HTP_jit,0.33501971099985894,0.2,7.0
133,linear,100,500,50,14,HTP,3.1331640190001053,0.2,7.0
134,linear,100,500,50,14,CVXPY,0.03974218299981658,0.38,0.0
135,linear,100,500,50,15,SCOPE_jit,0.7822847200000069,0.24,29.0
136,linear,100,500,50,15,SCOPE,13.796132296999986,0.24,29.0
137,linear,100,500,50,15,GraSP_jit,1.3899318759999915,0.26,15.0
138,linear,100,500,50,15,GraSP,17.639821255999777,0.26,15.0
139,linear,100,500,50,15,IHT_jit,0.3806913389998954,0.26,4.0
140,linear,100,500,50,15,IHT,0.39320624600031806,0.26,4.0
141,linear,100,500,50,15,HTP_jit,0.4289712499999041,0.24,9.0
142,linear,100,500,50,15,HTP,3.615501267000127,0.24,9.0
143,linear,100,500,50,15,CVXPY,0.11527534500010006,0.3,0.0
144,linear,100,500,50,16,SCOPE_jit,0.5699390450004103,0.36,18.0
145,linear,100,500,50,16,SCOPE,7.046349143000043,0.36,18.0
146,linear,100,500,50,16,GraSP_jit,1.5171343990000423,0.2,38.0
147,linear,100,500,50,16,GraSP,32.02608033700017,0.2,38.0
148,linear,100,500,50,16,IHT_jit,0.4938865280000755,0.34,3.0
149,linear,100,500,50,16,IHT,0.39989543000001504,0.34,3.0
150,linear,100,500,50,16,HTP_jit,0.2352356259998487,0.34,7.0
151,linear,100,500,50,16,HTP,2.603029896999942,0.34,7.0
152,linear,100,500,50,16,CVXPY,0.039233627999692544,0.42,0.0
153,linear,100,500,50,17,SCOPE_jit,0.7843313590001344,0.14,26.0
154,linear,100,500,50,17,SCOPE,12.389225979999992,0.14,26.0
