,model,n,p,k,seed,method,time,accuracy
0,ising,100,190,50,500,SCOPE,14.83480918686837,0.66
1,ising,100,190,50,500,SCOPE_jit,0.9802153119817376,0.66
2,ising,100,190,50,500,GraSP,83.9974589960184,0.66
3,ising,100,190,50,500,GraSP_jit,2.130648327060044,0.66
4,ising,100,190,50,500,IHT_jit,0.19696016679517925,0.74
5,ising,100,190,50,500,IHT,0.5063774189911783,0.74
6,ising,100,190,50,500,HTP_jit,0.22823835583403707,0.72
7,ising,100,190,50,500,HTP,2.0988155698869377,0.72
8,ising,100,190,50,500,CVXPY,0.20166693395003676,0.7
9,ising,100,190,50,501,SCOPE,12.236978425877169,0.46
10,ising,100,190,50,501,SCOPE_jit,0.8937203229870647,0.46
11,ising,100,190,50,501,GraSP,108.36689544399269,0.48
12,ising,100,190,50,501,GraSP_jit,2.589201525086537,0.48
13,ising,100,190,50,501,IHT_jit,0.21228756988421082,0.62
14,ising,100,190,50,501,IHT,1.375064681051299,0.62
15,ising,100,190,50,501,HTP_jit,0.2770387581549585,0.68
16,ising,100,190,50,501,HTP,4.824934252072126,0.68
17,ising,100,190,50,501,CVXPY,0.21044397703371942,0.64
18,ising,100,190,50,502,SCOPE,9.145514948060736,0.72
19,ising,100,190,50,502,SCOPE_jit,0.8011337569914758,0.72
20,ising,100,190,50,502,GraSP,79.90123961889185,0.68
21,ising,100,190,50,502,GraSP_jit,1.850094648078084,0.68
22,ising,100,190,50,502,IHT_jit,0.22144458815455437,0.76
23,ising,100,190,50,502,IHT,0.5607182499952614,0.76
24,ising,100,190,50,502,HTP_jit,0.2086042258888483,0.76
25,ising,100,190,50,502,HTP,1.05160197801888,0.76
26,ising,100,190,50,502,CVXPY,0.1849764371290803,0.82
27,ising,100,190,50,503,SCOPE,6.848464427050203,0.24
28,ising,100,190,50,503,SCOPE_jit,0.9209934799000621,0.24
29,ising,100,190,50,503,GraSP,117.67104004090652,0.5
30,ising,100,190,50,503,GraSP_jit,2.7872583081480116,0.5
31,ising,100,190,50,503,IHT_jit,0.2013419629074633,0.7
32,ising,100,190,50,503,IHT,0.9078368470072746,0.7
33,ising,100,190,50,503,HTP_jit,0.2284490829333663,0.62
34,ising,100,190,50,503,HTP,2.2706301731523126,0.62
35,ising,100,190,50,503,CVXPY,0.185840236954391,0.72
36,ising,100,190,50,504,SCOPE,17.28190056490712,0.8
37,ising,100,190,50,504,SCOPE_jit,1.1185013549402356,0.8
38,ising,100,190,50,504,GraSP,86.68898723600432,0.7
39,ising,100,190,50,504,GraSP_jit,2.075988107128069,0.7
40,ising,100,190,50,504,IHT_jit,0.20217994088307023,0.8
41,ising,100,190,50,504,IHT,0.8614892039913684,0.8
42,ising,100,190,50,504,HTP_jit,0.22798711783252656,0.82
43,ising,100,190,50,504,HTP,2.148607343202457,0.82
44,ising,100,190,50,504,CVXPY,0.1851539129856974,0.8
45,ising,100,190,50,505,SCOPE,7.407926433021203,0.72
46,ising,100,190,50,505,SCOPE_jit,0.6849126450251788,0.72
47,ising,100,190,50,505,GraSP,70.66355213313363,0.58
48,ising,100,190,50,505,GraSP_jit,1.740597628057003,0.58
49,ising,100,190,50,505,IHT_jit,0.20034883101470768,0.74
50,ising,100,190,50,505,IHT,0.6213897690176964,0.74
51,ising,100,190,50,505,HTP_jit,0.2527387049049139,0.72
52,ising,100,190,50,505,HTP,3.305740352952853,0.72
53,ising,100,190,50,505,CVXPY,0.20801551803015172,0.7
54,ising,100,190,50,506,SCOPE,22.684115176089108,0.78
55,ising,100,190,50,506,SCOPE_jit,0.6539331721141934,0.3
56,ising,100,190,50,506,GraSP,94.95038590510376,0.6
57,ising,100,190,50,506,GraSP_jit,2.3126251599751413,0.6
58,ising,100,190,50,506,IHT_jit,0.19463614304549992,0.7
59,ising,100,190,50,506,IHT,0.3587260309141129,0.7
60,ising,100,190,50,506,HTP_jit,0.33109707315452397,0.74
61,ising,100,190,50,506,HTP,7.428722344106063,0.74
62,ising,100,190,50,506,CVXPY,0.1933419539127499,0.72
63,ising,100,190,50,507,SCOPE,15.94169452204369,0.52
64,ising,100,190,50,507,SCOPE_jit,1.067018955014646,0.52
65,ising,100,190,50,507,GraSP,128.17368540284224,0.46
66,ising,100,190,50,507,GraSP_jit,3.1823797011747956,0.46
67,ising,100,190,50,507,IHT_jit,0.19941001199185848,0.58
68,ising,100,190,50,507,IHT,0.974778036121279,0.58
69,ising,100,190,50,507,HTP_jit,0.2272522421553731,0.68
70,ising,100,190,50,507,HTP,2.6334954230114818,0.68
71,ising,100,190,50,507,CVXPY,0.1941333981230855,0.7
72,ising,100,190,50,508,SCOPE,12.388492369093001,0.56
73,ising,100,190,50,508,SCOPE_jit,0.694610504200682,0.56
74,ising,100,190,50,508,GraSP,137.4777719688136,0.4
75,ising,100,190,50,508,GraSP_jit,3.4709746739827096,0.4
76,ising,100,190,50,508,IHT_jit,0.20349389407783747,0.54
77,ising,100,190,50,508,IHT,1.1866063489578664,0.54
78,ising,100,190,50,508,HTP_jit,0.25447279098443687,0.66
79,ising,100,190,50,508,HTP,4.303599337115884,0.66
80,ising,100,190,50,508,CVXPY,0.17319376207888126,0.64
81,ising,100,190,50,509,SCOPE,10.890201853122562,0.62
82,ising,100,190,50,509,SCOPE_jit,0.7779577169567347,0.62
83,ising,100,190,50,509,GraSP,69.32004835596308,0.7
84,ising,100,190,50,509,GraSP_jit,1.7046559180598706,0.7
85,ising,100,190,50,509,IHT_jit,0.19906047987751663,0.66
86,ising,100,190,50,509,IHT,0.7695767700206488,0.66
87,ising,100,190,50,509,HTP_jit,0.2182800378650427,0.7
88,ising,100,190,50,509,HTP,1.7613913791719824,0.7
89,ising,100,190,50,509,CVXPY,0.19438257208094,0.68
90,ising,100,190,50,510,SCOPE,23.34892156603746,0.84
91,ising,100,190,50,510,SCOPE_jit,1.383575493004173,0.84
92,ising,100,190,50,510,GraSP,73.27722018887289,0.6
93,ising,100,190,50,510,GraSP_jit,1.7525040139444172,0.6
94,ising,100,190,50,510,IHT_jit,0.19584213919006288,0.76
95,ising,100,190,50,510,IHT,0.5945150689221919,0.76
96,ising,100,190,50,510,HTP_jit,0.23889014404267073,0.72
97,ising,100,190,50,510,HTP,2.8132665830198675,0.72
98,ising,100,190,50,510,CVXPY,0.19591876701451838,0.76
99,ising,100,190,50,511,SCOPE,15.229598277015612,0.66
100,ising,100,190,50,511,SCOPE_jit,1.1506659628357738,0.7
101,ising,100,190,50,511,GraSP,87.99358153901994,0.68
102,ising,100,190,50,511,GraSP_jit,2.005715894047171,0.68
103,ising,100,190,50,511,IHT_jit,0.19867024291306734,0.7
104,ising,100,190,50,511,IHT,0.6574506990145892,0.7
105,ising,100,190,50,511,HTP_jit,0.24041183688677847,0.7
106,ising,100,190,50,511,HTP,3.085093687986955,0.7
107,ising,100,190,50,511,CVXPY,0.18709652894176543,0.68
108,ising,100,190,50,512,SCOPE,8.888553985161707,0.68
109,ising,100,190,50,512,SCOPE_jit,0.7359795309603214,0.68
110,ising,100,190,50,512,GraSP,91.40381092997268,0.6
111,ising,100,190,50,512,GraSP_jit,2.014668653951958,0.6
112,ising,100,190,50,512,IHT_jit,0.19737559114582837,0.78
113,ising,100,190,50,512,IHT,0.6507893898524344,0.78
114,ising,100,190,50,512,HTP_jit,0.22964335093274713,0.7
115,ising,100,190,50,512,HTP,2.185981120914221,0.7
116,ising,100,190,50,512,CVXPY,0.18393259798176587,0.78
117,ising,100,190,50,513,SCOPE,15.361662837909535,0.58
118,ising,100,190,50,513,SCOPE_jit,1.0848802300170064,0.56
119,ising,100,190,50,513,GraSP,117.60034473799169,0.4
120,ising,100,190,50,513,GraSP_jit,2.9697127288673073,0.4
121,ising,100,190,50,513,IHT_jit,0.2076416949275881,0.68
122,ising,100,190,50,513,IHT,0.9747919060755521,0.68
123,ising,100,190,50,513,HTP_jit,0.2450294829905033,0.56
124,ising,100,190,50,513,HTP,2.9541941310744733,0.56
125,ising,100,190,50,513,CVXPY,0.18844614597037435,0.68
126,ising,100,190,50,514,SCOPE,10.590017850045115,0.58
127,ising,100,190,50,514,SCOPE_jit,0.8517067178618163,0.58
128,ising,100,190,50,514,GraSP,113.23869701311924,0.46
129,ising,100,190,50,514,GraSP_jit,2.804843503050506,0.46
