,model,n,p,k,seed,method,time,accurary
0,linear,100,500,50,1,SCOPE,12.96593482978642,0.38
1,linear,100,500,50,1,SCOPE_jit,0.9068587319925427,0.38
2,linear,100,500,50,1,GraSP,18.15637375996448,0.22
3,linear,100,500,50,1,GraSP_jit,0.8436347970273346,0.22
4,linear,100,500,50,1,IHT_jit,0.18015795899555087,0.36
5,linear,100,500,50,1,IHT,0.46601021802052855,0.36
6,linear,100,500,50,1,HTP_jit,0.7113004350103438,0.36
7,linear,100,500,50,1,HTP,0.4924744148738682,0.36
8,linear,100,500,50,1,CVXPY,0.04337993892841041,0.4
9,linear,100,500,50,2,SCOPE,9.922208826988935,0.36
10,linear,100,500,50,2,SCOPE_jit,0.4834612258709967,0.36
11,linear,100,500,50,2,GraSP,47.65907894377597,0.3
12,linear,100,500,50,2,GraSP_jit,1.506321500055492,0.3
13,linear,100,500,50,2,IHT_jit,0.23427808983251452,0.3
14,linear,100,500,50,2,IHT,0.5274225280154496,0.3
15,linear,100,500,50,2,HTP_jit,0.3912251219153404,0.34
16,linear,100,500,50,2,HTP,2.8683090060949326,0.34
17,linear,100,500,50,2,CVXPY,0.029678348917514086,0.44
18,linear,100,500,50,3,SCOPE,17.023429536027834,0.48
19,linear,100,500,50,3,SCOPE_jit,0.8229713321197778,0.48
20,linear,100,500,50,3,GraSP,110.88538570282981,0.32
21,linear,100,500,50,3,GraSP_jit,3.618224110919982,0.32
22,linear,100,500,50,3,IHT_jit,0.32792584085837007,0.26
23,linear,100,500,50,3,IHT,0.2670137451495975,0.26
24,linear,100,500,50,3,HTP_jit,0.2822360969148576,0.3
25,linear,100,500,50,3,HTP,1.3491627690382302,0.3
26,linear,100,500,50,3,CVXPY,0.04360100091435015,0.36
27,linear,100,500,50,4,SCOPE,16.121017240919173,0.44
28,linear,100,500,50,4,SCOPE_jit,1.0477215389255434,0.44
29,linear,100,500,50,4,GraSP,56.362731573171914,0.3
30,linear,100,500,50,4,GraSP_jit,1.8190404700580984,0.3
31,linear,100,500,50,4,IHT_jit,0.3320645149797201,0.38
32,linear,100,500,50,4,IHT,0.31072861212305725,0.38
33,linear,100,500,50,4,HTP_jit,0.25929806008934975,0.42
34,linear,100,500,50,4,HTP,3.1601680340245366,0.42
35,linear,100,500,50,4,CVXPY,0.05209641787223518,0.42
36,linear,100,500,50,5,SCOPE,11.752364713931456,0.32
37,linear,100,500,50,5,SCOPE_jit,0.8467947740573436,0.32
38,linear,100,500,50,5,GraSP,24.421734770061448,0.32
39,linear,100,500,50,5,GraSP_jit,0.7691545139532536,0.32
40,linear,100,500,50,5,IHT_jit,0.18225200101733208,0.4
41,linear,100,500,50,5,IHT,0.5771948241163045,0.4
42,linear,100,500,50,5,HTP_jit,0.2986002638936043,0.42
43,linear,100,500,50,5,HTP,1.4344807569868863,0.42
44,linear,100,500,50,5,CVXPY,0.09328892803750932,0.4
45,linear,100,500,50,6,SCOPE,8.699302427005023,0.36
46,linear,100,500,50,6,SCOPE_jit,0.5140335340984166,0.36
47,linear,100,500,50,6,GraSP,23.28893733699806,0.22
48,linear,100,500,50,6,GraSP_jit,0.8477312249597162,0.22
49,linear,100,500,50,6,IHT_jit,0.2574927951209247,0.3
50,linear,100,500,50,6,IHT,0.4435897700022906,0.3
51,linear,100,500,50,6,HTP_jit,0.24156388081610203,0.32
52,linear,100,500,50,6,HTP,0.7587514959741384,0.32
53,linear,100,500,50,6,CVXPY,0.12278681201860309,0.36
54,linear,100,500,50,7,SCOPE,14.746273645898327,0.34
55,linear,100,500,50,7,SCOPE_jit,0.6957517729606479,0.34
56,linear,100,500,50,7,GraSP,98.10051491111517,0.28
57,linear,100,500,50,7,GraSP_jit,2.707893749931827,0.28
58,linear,100,500,50,7,IHT_jit,0.23467488400638103,0.38
59,linear,100,500,50,7,IHT,0.3806571189779788,0.38
60,linear,100,500,50,7,HTP_jit,0.24106792104430497,0.4
61,linear,100,500,50,7,HTP,1.3601029731798917,0.4
62,linear,100,500,50,7,CVXPY,0.04391175811178982,0.48
63,linear,100,500,50,8,SCOPE,20.945804713992402,0.36
64,linear,100,500,50,8,SCOPE_jit,0.9901483820285648,0.36
65,linear,100,500,50,8,GraSP,26.120631491066888,0.18
66,linear,100,500,50,8,GraSP_jit,0.8334111580625176,0.18
67,linear,100,500,50,8,IHT_jit,0.18251014314591885,0.34
68,linear,100,500,50,8,IHT,0.2138139319140464,0.34
69,linear,100,500,50,8,HTP_jit,0.2478787589352578,0.38
