,model,n,p,k,seed,method,time,accuracy
83,linear,200,500,50,16,HTP_jit,0.24812415707856417,0.68
84,linear,200,500,50,16,CVXPY,0.12377317203208804,0.44
85,linear,200,500,50,17,SCOPE_jit,0.7627140069380403,0.6
86,linear,200,500,50,17,GraSP_jit,4.696138140978292,0.54
87,linear,200,500,50,17,IHT_jit,0.3556779711507261,0.6
88,linear,200,500,50,17,HTP_jit,0.37838403414934874,0.56
89,linear,200,500,50,17,CVXPY,0.05313155218027532,0.4
90,linear,200,500,50,18,SCOPE_jit,1.1737201509531587,0.66
91,linear,200,500,50,18,GraSP_jit,8.237321173073724,0.58
92,linear,200,500,50,18,IHT_jit,0.5684113767929375,0.72
93,linear,200,500,50,18,HTP_jit,0.3364119010511786,0.58
94,linear,200,500,50,18,CVXPY,0.28701687697321177,0.68
95,linear,200,500,50,19,SCOPE_jit,1.4960829520132393,0.5
96,linear,200,500,50,19,GraSP_jit,5.7071380079723895,0.4
97,linear,200,500,50,19,IHT_jit,0.573630188126117,0.58
98,linear,200,500,50,19,HTP_jit,0.7971776181366295,0.5
99,linear,200,500,50,19,CVXPY,0.04366485099308193,0.56
100,linear,300,500,50,20,SCOPE_jit,1.123861188068986,0.94
101,linear,300,500,50,20,GraSP_jit,2.893807290121913,0.88
102,linear,300,500,50,20,IHT_jit,0.21354908891953528,0.72
103,linear,300,500,50,20,HTP_jit,0.5588350070174783,0.94
104,linear,300,500,50,20,CVXPY,0.09883967693895102,0.7
105,linear,300,500,50,21,SCOPE_jit,1.1359492701012641,0.76
106,linear,300,500,50,21,GraSP_jit,1.8322557001374662,0.9
107,linear,300,500,50,21,IHT_jit,0.23142582108266652,0.66
108,linear,300,500,50,21,HTP_jit,0.20946318609640002,0.74
109,linear,300,500,50,21,CVXPY,0.22015750384889543,0.66
110,linear,300,500,50,22,SCOPE_jit,1.2693043141625822,1.0
111,linear,300,500,50,22,GraSP_jit,5.663123378995806,0.86
112,linear,300,500,50,22,IHT_jit,0.4668239220045507,0.66
113,linear,300,500,50,22,HTP_jit,0.322824499104172,1.0
114,linear,300,500,50,22,CVXPY,0.15932055213488638,0.64
115,linear,300,500,50,23,SCOPE_jit,1.559173600981012,0.98
116,linear,300,500,50,23,GraSP_jit,2.3418058690149337,0.88
117,linear,300,500,50,23,IHT_jit,0.2632921237964183,0.66
118,linear,300,500,50,23,HTP_jit,0.33943408099003136,0.98
119,linear,300,500,50,23,CVXPY,0.12144261901266873,0.78
120,linear,300,500,50,24,SCOPE_jit,1.0041404648218304,0.98
121,linear,300,500,50,24,GraSP_jit,4.8052852500695735,0.9
122,linear,300,500,50,24,IHT_jit,0.5774012941401452,0.74
123,linear,300,500,50,24,HTP_jit,0.7896665360312909,0.98
124,linear,300,500,50,24,CVXPY,0.10835478897206485,0.48
125,linear,300,500,50,25,SCOPE_jit,1.4671378948260099,0.82
126,linear,300,500,50,25,GraSP_jit,5.251882306998596,0.82
127,linear,300,500,50,25,IHT_jit,0.6643302307929844,0.66
128,linear,300,500,50,25,HTP_jit,0.5885380289983004,0.8
129,linear,300,500,50,25,CVXPY,0.06864599394612014,0.64
130,linear,300,500,50,26,SCOPE_jit,0.6988823260180652,1.0
131,linear,300,500,50,26,GraSP_jit,2.7048262909520417,0.92
132,linear,300,500,50,26,IHT_jit,0.5592431658878922,0.72
133,linear,300,500,50,26,HTP_jit,0.6730525870807469,1.0
134,linear,300,500,50,26,CVXPY,0.13621614896692336,0.72
135,linear,300,500,50,27,SCOPE_jit,0.983406572137028,0.98
136,linear,300,500,50,27,GraSP_jit,2.8435288770124316,0.88
137,linear,300,500,50,27,IHT_jit,0.5557479970157146,0.7
138,linear,300,500,50,27,HTP_jit,0.7333672638051212,0.98
139,linear,300,500,50,27,CVXPY,0.2318430319428444,0.74
140,linear,300,500,50,28,SCOPE_jit,1.1984400539658964,0.9
141,linear,300,500,50,28,GraSP_jit,1.773846701020375,0.86
142,linear,300,500,50,28,IHT_jit,0.20440562791191041,0.7
143,linear,300,500,50,28,HTP_jit,0.3866751620080322,0.92
144,linear,300,500,50,28,CVXPY,0.06931317318230867,0.56
145,linear,300,500,50,29,SCOPE_jit,0.933320608921349,0.76
146,linear,300,500,50,29,GraSP_jit,1.8177638400811702,0.82
147,linear,300,500,50,29,IHT_jit,0.24850140698254108,0.7
148,linear,300,500,50,29,HTP_jit,0.305611226009205,0.82
