{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 2, 'accuracy': 0.32870370149612427}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 2, 'accuracy': 0.32870370149612427}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 4, 'accuracy': 0.5046296119689941}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 4, 'accuracy': 0.5092592835426331}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 6, 'accuracy': 0.6064814925193787}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 6, 'accuracy': 0.6342592835426331}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 8, 'accuracy': 0.6759259104728699}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 8, 'accuracy': 0.6620370149612427}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 2, 'accuracy': 0.31018519401550293}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 2, 'accuracy': 0.347222238779068}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 2, 'accuracy': 0.3240740895271301}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 2, 'accuracy': 0.31018519401550293}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 2, 'accuracy': 0.33796295523643494}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 2, 'accuracy': 0.3194444477558136}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 4, 'accuracy': 0.472222238779068}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 4, 'accuracy': 0.5185185074806213}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 4, 'accuracy': 0.5185185074806213}
{'dataset': 'Mice', 'method': 'ScopeSolver', 'num_selected_features': 4, 'accuracy': 0.5879629850387573}
